,0,1,2,3
0,1,2297,40498313,957
1,2,2298,40498313,957
2,3,2344,47923013,54556
3,4,2345,47924013,54556
4,5,2346,47926013,54556
5,6,2347,59371113,54556
6,7,2348,59371913,54556
7,8,2349,59373413,54556
8,9,2350,41553513,886
9,10,2351,41553513,886
10,11,2352,41553613,886
11,12,2353,41553613,886
12,13,2354,41553613,886
13,14,2355,41553613,886
14,15,2356,41554613,886
15,16,2357,41554613,886
16,17,2358,41554613,886
17,18,2359,41554613,886
18,19,2360,41212413,972
19,20,2361,53530213,55438
20,21,2362,53530213,55438
21,22,2363,88706113,55438
22,23,2364,88706113,55438
23,24,2365,88706213,55438
24,25,2366,88706213,55438
25,26,2367,88706313,55438
26,27,2368,88706313,55438
27,28,2369,54104213,55281
28,29,2370,59522013,55281
29,30,2371,59522113,55281
30,31,2372,59522213,55281
31,32,2373,59522313,55281
32,33,2374,59522413,55281
33,34,2375,59522513,55281
34,35,2376,59522613,55281
35,36,2377,54102613,55296
36,37,2378,54102613,55296
37,38,2379,88616913,55296
38,39,2380,88616913,55296
39,40,2387,39465213,55279
40,41,2388,39465313,55279
41,42,2389,39465413,55279
42,43,2390,39465513,55279
43,44,2391,39465713,55279
44,45,2392,39465813,55279
45,46,2393,39465913,55279
46,47,2394,39466013,55279
47,48,2395,39466113,55279
48,49,2396,39466213,55279
49,50,2403,38906113,55216
50,51,2404,38906313,55216
51,52,2405,59609013,55216
52,53,2406,59609113,55216
53,54,2407,91319613,55216
54,55,2408,91319713,55216
55,56,2409,91319813,55216
56,57,2410,91319913,55216
57,58,2416,42008313,55109
58,59,2417,42008313,55109
59,60,2418,42008413,55109
60,61,2419,42008413,55109
61,62,2420,42008513,55109
62,63,2421,42008513,55109
63,64,2422,42008613,55109
64,65,2423,42008613,55109
65,66,2424,53868813,56462
66,67,2425,53868913,56462
67,68,2426,53869013,56462
68,69,2427,53869113,56462
69,70,2428,53869213,56462
70,71,2429,53682413,55131
71,72,2430,53682413,55131
72,73,2431,59763413,55131
73,74,2432,59763413,55131
74,75,2433,59763513,55131
75,76,2434,59763513,55131
76,77,2435,59763613,55131
77,78,2436,59763613,55131
78,79,2437,59808713,55392
79,80,2438,59808713,55392
80,81,2439,59808813,55392
81,82,2440,59808813,55392
82,83,2441,59808913,55392
83,84,2442,59808913,55392
84,85,2443,2285513,883
85,86,2444,2285513,883
86,87,2445,2285513,883
87,88,2446,2285513,883
88,89,2447,2286113,883
89,90,2448,2286113,883
90,91,2449,2286113,883
91,92,2450,2286713,883
92,93,2451,2286713,883
93,94,2452,27563313,955
94,95,2453,26772913,55236
95,96,2454,88662613,55236
96,97,2455,88662813,55236
97,98,2456,88663313,55236
98,99,2457,88663413,55236
99,100,2458,88663513,55236
100,101,2459,88663613,55236
101,102,2460,88663713,55236
102,103,2461,105888013,55183
103,104,2462,105888013,55183
104,105,2463,105888013,55183
105,106,2464,105888013,55183
106,107,2465,105888113,55183
107,108,2466,105888113,55183
108,109,2467,105888113,55183
109,110,2468,105888113,55183
110,111,2548,29821813,960
111,112,2549,29822013,960
112,113,2550,29822213,960
113,114,2551,29822313,960
114,115,2552,29822313,960
115,116,2553,29822513,960
116,117,2554,29822613,960
117,118,2555,29822613,960
118,119,2556,26814513,856
119,120,2557,26814713,856
120,121,2558,26814813,856
121,122,2575,27779013,892
122,123,2576,27779013,892
123,124,2577,27779113,892
124,125,2578,27779113,892
125,126,2652,34121313,55253
126,127,2653,88709513,55253
127,128,2654,88709613,55253
128,129,2655,88709713,55253
129,130,2656,88700413,55199
130,131,2657,88700513,55199
131,132,2658,88700613,55199
132,133,2659,88700713,55199
133,134,2660,88700813,55199
134,135,2661,88700913,55199
135,136,2662,88701013,55199
136,137,2663,88701113,55199
137,138,2664,88701213,55199
138,139,2665,28414513,55222
139,140,2666,28414613,55222
140,141,2667,28414713,55222
141,142,2668,28414813,55222
142,143,2669,28414913,55222
143,144,2670,28415313,55222
144,145,2671,28415413,55222
145,146,2672,28415513,55222
146,147,2673,28348613,55250
147,148,2674,60403513,55250
148,149,2675,60403613,55250
149,150,2676,60403713,55250
150,151,2677,60403813,55250
151,152,2678,60403913,55250
152,153,2679,60404013,55250
153,154,2680,60404113,55250
